"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,2.812,-4.897
0.212765,2.812,-4.413
0.425530,2.812,-3.929
0.638295,2.812,-3.446
0.851060,2.794,-2.968
1.063825,2.659,-2.487
1.276590,2.524,-2.005
1.489355,2.304,-1.521
1.702120,1.989,-1.038
1.914885,1.579,-0.552
2.127650,0.978,-0.076
2.340415,0.344,0.398
2.553180,0.053,0.880
2.765945,0.011,1.362
2.978710,0.005,1.844
3.191475,0.008,2.327
3.404240,0.011,2.810
3.617005,0.008,3.287
3.829770,0.005,3.767
4.042535,0.006,4.248
4.255300,0.010,4.731
4.468065,0.008,5.212
4.680830,0.008,5.489
