"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.051,-4.636
0.212765,0.047,-4.153
0.425530,0.047,-3.667
0.638295,0.050,-3.188
0.851060,0.049,-2.709
1.063825,0.044,-2.227
1.276590,0.042,-1.744
1.489355,0.045,-1.261
1.702120,0.044,-0.777
1.914885,0.038,-0.293
2.127650,0.035,0.176
2.340415,0.037,0.658
2.553180,0.038,1.140
2.765945,0.034,1.621
2.978710,0.032,2.104
3.191475,0.036,2.590
3.404240,0.038,3.067
3.617005,0.034,3.545
3.829770,0.032,4.026
4.042535,0.035,4.509
4.255300,0.038,4.991
4.468065,0.036,5.457
4.680830,0.037,5.283
