"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.863,-4.910
0.212765,0.833,-4.426
0.425530,0.823,-3.942
0.638295,0.786,-3.459
0.851060,0.755,-2.980
1.063825,0.704,-2.499
1.276590,0.661,-2.017
1.489355,0.590,-1.534
1.702120,0.510,-1.051
1.914885,0.400,-0.565
2.127650,0.274,-0.088
2.340415,0.138,0.385
2.553180,0.060,0.867
2.765945,0.031,1.349
2.978710,0.029,1.832
3.191475,0.030,2.315
3.404240,0.026,2.798
3.617005,0.024,3.275
3.829770,0.027,3.754
4.042535,0.030,4.236
4.255300,0.026,4.718
4.468065,0.023,5.200
4.680830,0.029,5.493
