"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,1.226,-4.919
0.212765,1.217,-4.436
0.425530,1.191,-3.952
0.638295,1.169,-3.469
0.851060,1.136,-2.991
1.063825,1.116,-2.510
1.276590,1.058,-2.028
1.489355,0.991,-1.545
1.702120,0.875,-1.061
1.914885,0.730,-0.576
2.127650,0.476,-0.098
2.340415,0.121,0.375
2.553180,0.027,0.856
2.765945,0.030,1.339
2.978710,0.032,1.822
3.191475,0.028,2.304
3.404240,0.025,2.787
3.617005,0.029,3.264
3.829770,0.031,3.743
4.042535,0.028,4.226
4.255300,0.024,4.708
4.468065,0.027,5.189
4.680830,0.034,5.495
