"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,1.136,-4.828
0.212765,1.109,-4.345
0.425530,1.085,-3.861
0.638295,1.040,-3.378
0.851060,1.007,-2.900
1.063825,0.953,-2.419
1.276590,0.882,-1.937
1.489355,0.786,-1.453
1.702120,0.674,-0.970
1.914885,0.530,-0.484
2.127650,0.325,-0.010
2.340415,0.126,0.466
2.553180,0.042,0.948
2.765945,0.030,1.430
2.978710,0.027,1.913
3.191475,0.023,2.396
3.404240,0.022,2.878
3.617005,0.026,3.355
3.829770,0.027,3.835
4.042535,0.022,4.317
4.255300,0.021,4.799
4.468065,0.025,5.282
4.680830,0.031,5.458
