"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,6.090,-4.659
0.212765,6.086,-4.176
0.425530,6.056,-3.690
0.638295,6.028,-3.209
0.851060,5.982,-2.731
1.063825,5.933,-2.249
1.276590,5.793,-1.766
1.489355,5.590,-1.282
1.702120,5.117,-0.798
1.914885,4.069,-0.314
2.127650,2.205,0.156
2.340415,0.507,0.638
2.553180,-0.050,1.120
2.765945,-0.101,1.601
2.978710,-0.080,2.083
3.191475,-0.114,2.570
3.404240,-0.150,3.047
3.617005,-0.126,3.525
3.829770,-0.089,4.007
4.042535,-0.113,4.489
4.255300,-0.155,4.972
4.468065,-0.131,5.443
4.680830,-0.037,5.304
