"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,6.211,-4.784
0.212765,6.211,-4.301
0.425530,6.211,-3.816
0.638295,6.211,-3.334
0.851060,6.211,-2.856
1.063825,6.211,-2.374
1.276590,6.211,-1.892
1.489355,6.211,-1.408
1.702120,6.211,-0.924
1.914885,6.194,-0.440
2.127650,5.636,0.034
2.340415,2.016,0.511
2.553180,-0.067,0.994
2.765945,-0.285,1.475
2.978710,-0.265,1.958
3.191475,-0.252,2.441
3.404240,-0.305,2.923
3.617005,-0.319,3.399
3.829770,-0.282,3.880
4.042535,-0.270,4.361
4.255300,-0.307,4.844
4.468065,-0.332,5.328
4.680830,-0.243,5.425
