"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,2.432,-4.964
0.212765,2.371,-4.481
0.425530,2.278,-3.996
0.638295,2.296,-3.512
0.851060,2.251,-3.034
1.063825,2.157,-2.555
1.276590,1.999,-2.071
1.489355,1.881,-1.588
1.702120,1.705,-1.105
1.914885,1.418,-0.620
2.127650,0.901,-0.140
2.340415,0.199,0.332
2.553180,0.024,0.813
2.765945,-0.016,1.295
2.978710,-0.052,1.779
3.191475,-0.021,2.261
3.404240,0.014,2.744
3.617005,-0.018,3.222
3.829770,-0.056,3.700
4.042535,-0.029,4.182
4.255300,0.007,4.664
4.468065,-0.019,5.146
4.680830,-0.034,5.501
