"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,6.127,-4.821
0.212765,6.111,-4.338
0.425530,6.101,-3.853
0.638295,6.086,-3.371
0.851060,6.079,-2.893
1.063825,6.047,-2.411
1.276590,6.006,-1.929
1.489355,5.922,-1.446
1.702120,5.768,-0.961
1.914885,5.260,-0.476
2.127650,3.502,-0.002
2.340415,0.389,0.474
2.553180,-0.061,0.956
2.765945,-0.038,1.439
2.978710,-0.071,1.921
3.191475,-0.105,2.404
3.404240,-0.078,2.886
3.617005,-0.043,3.363
3.829770,-0.071,3.843
4.042535,-0.108,4.325
4.255300,-0.093,4.807
4.468065,-0.051,5.291
4.680830,-0.024,5.451
