"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,5.811,-4.650
0.212765,5.737,-4.167
0.425530,5.690,-3.680
0.638295,5.606,-3.200
0.851060,5.546,-2.721
1.063825,5.353,-2.239
1.276590,5.105,-1.756
1.489355,4.610,-1.271
1.702120,4.037,-0.788
1.914885,3.031,-0.304
2.127650,1.598,0.166
2.340415,0.480,0.648
2.553180,0.075,1.130
2.765945,-0.031,1.612
2.978710,-0.088,2.094
3.191475,-0.123,2.580
3.404240,-0.094,3.057
3.617005,-0.063,3.535
3.829770,-0.094,4.016
4.042535,-0.131,4.499
4.255300,-0.108,4.982
4.468065,-0.062,5.451
4.680830,-0.029,5.293
