"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.349,-4.563
0.212765,0.341,-4.080
0.425530,0.334,-3.594
0.638295,0.327,-3.115
0.851060,0.313,-2.637
1.063825,0.297,-2.155
1.276590,0.274,-1.671
1.489355,0.247,-1.188
1.702120,0.207,-0.704
1.914885,0.153,-0.222
2.127650,0.087,0.248
2.340415,0.045,0.730
2.553180,0.038,1.212
2.765945,0.036,1.693
2.978710,0.036,2.176
3.191475,0.037,2.660
3.404240,0.037,3.138
3.617005,0.037,3.616
3.829770,0.036,4.098
4.042535,0.037,4.580
4.255300,0.037,5.062
4.468065,0.036,5.489
4.680830,0.037,5.210
