"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.120,-4.551
0.212765,0.119,-4.067
0.425530,0.114,-3.582
0.638295,0.112,-3.103
0.851060,0.108,-2.625
1.063825,0.103,-2.141
1.276590,0.096,-1.659
1.489355,0.088,-1.176
1.702120,0.080,-0.692
1.914885,0.067,-0.210
2.127650,0.052,0.260
2.340415,0.043,0.742
2.553180,0.040,1.224
2.765945,0.039,1.706
2.978710,0.039,2.189
3.191475,0.038,2.672
3.404240,0.039,3.150
3.617005,0.039,3.628
3.829770,0.039,4.111
4.042535,0.038,4.592
4.255300,0.039,5.074
4.468065,0.039,5.492
4.680830,0.039,5.197
