"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.040,-4.650
0.212765,0.039,-4.167
0.425530,0.039,-3.681
0.638295,0.039,-3.201
0.851060,0.040,-2.723
1.063825,0.040,-2.242
1.276590,0.039,-1.759
1.489355,0.039,-1.275
1.702120,0.039,-0.791
1.914885,0.039,-0.308
2.127650,0.039,0.162
2.340415,0.039,0.643
2.553180,0.039,1.125
2.765945,0.040,1.606
2.978710,0.039,2.089
3.191475,0.039,2.574
3.404240,0.039,3.052
3.617005,0.040,3.530
3.829770,0.040,4.011
4.042535,0.040,4.493
4.255300,0.039,4.975
4.468065,0.040,5.446
4.680830,0.040,5.299
