"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.040,-4.708
0.212765,0.040,-4.226
0.425530,0.040,-3.741
0.638295,0.039,-3.259
0.851060,0.040,-2.782
1.063825,0.041,-2.300
1.276590,0.039,-1.818
1.489355,0.039,-1.333
1.702120,0.040,-0.850
1.914885,0.039,-0.366
2.127650,0.039,0.105
2.340415,0.039,0.584
2.553180,0.039,1.067
2.765945,0.040,1.549
2.978710,0.040,2.031
3.191475,0.039,2.515
3.404240,0.039,2.995
3.617005,0.040,3.472
3.829770,0.040,3.953
4.042535,0.039,4.434
4.255300,0.039,4.917
4.468065,0.039,5.400
4.680830,0.040,5.357
