"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.145,-4.891
0.212765,0.146,-4.408
0.425530,0.141,-3.924
0.638295,0.140,-3.440
0.851060,0.134,-2.963
1.063825,0.130,-2.481
1.276590,0.123,-1.999
1.489355,0.115,-1.517
1.702120,0.103,-1.034
1.914885,0.089,-0.548
2.127650,0.071,-0.071
2.340415,0.051,0.402
2.553180,0.040,0.884
2.765945,0.038,1.366
2.978710,0.039,1.849
3.191475,0.039,2.332
3.404240,0.038,2.814
3.617005,0.038,3.291
3.829770,0.039,3.771
4.042535,0.039,4.252
4.255300,0.038,4.734
4.468065,0.038,5.216
4.680830,0.039,5.488
