"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,0.158,-4.916
0.212765,0.160,-4.432
0.425530,0.155,-3.949
0.638295,0.155,-3.465
0.851060,0.149,-2.987
1.063825,0.149,-2.507
1.276590,0.142,-2.025
1.489355,0.137,-1.542
1.702120,0.123,-1.058
1.914885,0.109,-0.573
2.127650,0.083,-0.096
2.340415,0.047,0.377
2.553180,0.038,0.859
2.765945,0.039,1.341
2.978710,0.039,1.824
3.191475,0.040,2.307
3.404240,0.039,2.789
3.617005,0.039,3.266
3.829770,0.039,3.746
4.042535,0.039,4.228
4.255300,0.038,4.709
4.468065,0.039,5.191
4.680830,0.039,5.494
