"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)"
0.000000,1.767,-4.967
0.212765,1.725,-4.485
0.425530,1.688,-4.001
0.638295,1.651,-3.517
0.851060,1.588,-3.039
1.063825,1.526,-2.559
1.276590,1.419,-2.076
1.489355,1.317,-1.594
1.702120,1.135,-1.110
1.914885,0.936,-0.626
2.127650,0.613,-0.146
2.340415,0.253,0.325
2.553180,0.066,0.807
2.765945,0.030,1.289
2.978710,0.025,1.772
3.191475,0.025,2.254
3.404240,0.026,2.738
3.617005,0.025,3.215
3.829770,0.025,3.694
4.042535,0.025,4.176
4.255300,0.025,4.658
4.468065,0.025,5.139
4.680830,0.025,5.501
